UID	CID	patient_ID
170	Bu14709	Bu1
194	Bu14809	Bu10
130	Bu131105	Bu12
109	Bu13711	Bu13
253	Bu141020	Bu14
184	Bu14723	Bu2
214	Bu14905	Bu3
242	Bu141009	Bu4
237	Bu141004	Bu5
270	Bu141113	Bu6
198	Bu14813	Bu7
158	Bu14621	Bu8
86	Bw141104	Bw1
78	Bw14912	Bw10
37	Bw14703	Bw2
54	Bw14804	Bw3
11	Bw14601	Bw4
39	Bw14705	Bw5
15	Bw14605	Bw6
97	Bw141115	Bw7
17	Bw14607	Bw8
80	Bw14914	Bw9
686	Ko141108	Ko1
616	Ko14718	Ko2
643	Ko14905	Ko3
384	Mu14811	Mu10
312	Mu13719	Mu11
285	Mu13605	Mu2
388	Mu14903	Mu4
372	Mu14711	Mu5
395	Mu14910	Mu6
302	Mu13704	Mu7
409	Mu141112	Mu8
303	Mu13705	Mu9
